word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
#&lt,0.0,0.315665498161035,0.0,0.0,1.01966112290215,0.0,0.336629519649128,0.0
#1,0.0,0.0482216879502456,0.0,0.168162305985054,0.173183438898834,0.0,0.0242343215760722,0.258709005048233
#100thingsaboutme,0.485453806109268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#100thingsthatmakemehappy,0.0,0.0,0.0,0.0,1.6086680442095,0.0,0.0,0.0
#121212concert,0.0,0.0,0.0,0.0,0.0,0.0,0.792105048331954,0.0
#18,0.0,0.0,0.0,0.0,0.0,0.0,1.4852522288919,0.0
#1d,0.0,0.0,0.391938437519483,0.0,0.0,0.0,0.74765328576112,0.0
#2,0.0,0.584555071263449,0.0,0.181247545533709,0.515360807771079,0.0,0.0,0.0
#20,0.0,0.0,0.0,0.0,0.0,0.0,0.866213020485676,0.0
#2012,0.0,0.117214559437197,0.0,0.604879957597323,0.964311027818983,0.100318564648741,0.0,0.0
#2012taughtme,0.0,0.0,0.0,0.0,0.62783879119777,0.0,0.0,1.30283310843227
#2013,0.0,0.603347570612816,0.0,0.0,1.22730048768039,0.0,0.0,0.361849763967747
#20thingsidontlike,0.0,0.0,1.20760575402008,0.0,0.0,0.0,0.0,0.0
#21,0.0,0.0,0.0,0.0,0.0,0.0,0.792105048331954,0.0
#3,0.0436210538302285,0.717652341892875,0.0,0.27797717199226,0.0,0.0,0.0,0.0
#30factsaboutme,0.0,0.0,0.981901381844198,0.0,0.0,0.0,0.0,0.0
#30rock,0.0,0.0,0.0,0.0,0.0,1.81511699274067,0.0,0.0
#4,0.290481131761754,0.964512419824401,0.0,0.0,0.0,0.0,0.0,0.0
#49ers,0.0,0.94962380733065,0.0,0.530567924632771,0.0,0.0,0.0638665479607386,0.0
#4pics1word,1.02445030684195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#5,0.0436210538302285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#5days,0.0,0.0,0.0,1.25880642500399,0.0,0.0,0.0,0.0
#6degrees,0.0,0.0,0.0,0.0,2.16828383214492,0.0,0.0,0.0
#a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00294895830831
#a&amp,0.0,0.0,0.0,1.33291439715771,0.0,0.0,0.0,0.0
#aa,0.0,0.0,0.0,0.0,1.84286143171029,0.0,0.0,0.0
#aaaah,0.0,0.0,0.0,1.54648849745577,0.0,0.0,0.0,0.0
#abouttime,0.0,0.0,0.0,0.853341316895822,0.0,0.0,0.0,0.0
#absolutely,0.0,0.0,1.58152250439332,0.0,0.0,0.0,0.0,0.0
#abundance,0.0,0.0,0.0,0.0,1.88060175969314,0.0,0.0,0.0
#abusive,0.0,0.0,1.41721945310204,0.0,0.0,0.0,0.0,0.0
#acceptance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68606624267178
#accomplished,0.0,0.0,0.0,0.286945841975021,1.2654161206029,0.0,0.646923038487456,0.0
#acoustic,0.0,0.0,0.0,0.0,0.0,0.0,1.33110154906464,0.0
#act,0.0,0.0,0.0,0.971124352552206,0.0,0.0,0.0,0.0
#acting,0.0,0.0,0.0,0.0,1.39509394391144,0.0,0.0,0.0
#actuallygood,0.0,0.0,0.0,0.0,0.0,0.0,1.4852522288919,0.0
#add,0.0,0.0,0.0,0.0,0.0,0.0,1.363149532091,0.0
#addict,0.0,0.0,0.0,0.0,0.0,0.0,0.866213020485676,0.0
#addicted,0.0,0.014935710316779,0.0,0.0,0.0,0.0,1.01524859964616,0.0
#addicting,0.0,0.0,0.0,0.0,0.0,0.0,1.28458153342975,0.0
#addiction,0.0,0.0,0.0,0.0,0.757296858434656,0.298769503372579,0.544268884427373,0.0
#addictive,0.0,0.0,0.0,0.0,0.0,0.0,1.40520952121836,0.0
#addprobs,0.0,0.0,0.0,0.0,0.0,0.0,1.4852522288919,0.0
#adhd,0.0,0.0,0.0,1.351179745135,0.0,0.0,0.61621438186829,0.0
#admiration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68912746955216
#admired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68912746955216
#admiring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68912746955216
#adorable,0.0,0.0,0.0,0.0,0.869000848014658,0.0,0.93318364659186,0.0
#adored,0.0,0.0,1.55335162742662,0.0,0.0,0.0,0.0,0.0
#adrenaline,0.823779611379804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#adventure,0.0,0.0,0.0,0.0,1.18745457913319,0.0,0.0,0.0
#advice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8624488963677
#afc,0.0027990593099734,0.0,0.308556828580432,0.0,0.0,0.0,0.0,0.0
#affirmation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32140268942685
#afghanistan,0.0,0.0,0.0,1.76963204876998,0.0,0.0,0.0,0.0
#afraid,0.0,0.0,0.0,1.5952786616252,0.0,0.0,0.0,0.0
#africa,0.0,0.0,0.0,0.0,0.0,0.0,0.866213020485676,0.0
#again,0.137147111841052,0.0,0.0,0.0,0.028217668648648,0.0,0.549158869721564,0.0
#agg,0.823779611379804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aggravated,1.05835185851764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aggression,1.20677186363591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aggressive,1.42991541495012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aggy,1.27576473512286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
